Metro.Status.Code,Number.of.Schools,Agency.ID,Federal.Revenue,Related.Children.in.Poverty,Total.Enrollment
3,6,101,1484000,580,3480
3,14,48,3114000,1787,7091
2,11,158,2152000,173,9540
1,9,105,2600000,1957,2995
3,4,106,540000,253,2645
2,5,109,1027000,295,1814
3,7,110,1387000,765,4355
2,12,1,3119000,1464,8536
2,37,2,7741000,3915,22730
1,93,114,25145000,13952,39476
2,10,5,2446000,1422,7186
3,3,116,472000,287,1392
3,6,7,3331000,1418,4680
2,16,8,3683000,1410,9630
3,10,9,2467000,1085,4375
3,7,10,1698000,850,3948
3,9,11,2601000,1589,6682
3,6,12,1995000,967,2419
3,6,14,1068000,509,2574
3,4,16,1511000,435,2000
3,8,20,2092000,872,3340
3,3,21,1468000,760,2378
3,5,125,1520000,412,2699
3,25,22,5919000,1961,9619
2,7,23,1320000,647,2623
3,12,24,3868000,1935,4911
3,12,25,4029000,1849,7567
1,17,127,3129000,1644,8900
1,17,130,6146000,2663,8936
2,11,26,3515000,1655,10018
3,11,27,3338000,1555,5080
2,19,28,2742000,1545,8561
3,5,133,1555000,707,3133
3,6,29,1294000,654,2811
1,9,141,3361000,1403,4500
3,6,30,1514000,870,3239
1,15,144,5393000,2328,5739
3,9,31,1315000,861,2999
3,4,32,2016000,985,2070
3,4,154,609000,335,1824
3,7,33,2702000,1266,3369
3,6,34,1618000,773,2834
2,5,157,705000,113,3262
2,7,35,2686000,1127,6204
1,44,159,10140000,5338,23037
3,17,36,3113000,1367,6526
2,2,162,729000,176,1684
2,6,163,948000,520,2465
2,62,37,16782000,3705,42000
3,3,38,1085000,718,2916
2,13,39,2540000,1211,8622
2,13,40,3489000,1386,6186
3,12,41,2773000,811,8660
2,10,42,2371000,1284,8008
3,8,43,4238000,1261,2677
3,8,44,4860000,1585,4051
2,27,45,5429000,1661,16424
1,89,49,38822000,20601,66192
1,56,51,20624000,9458,33732
1,15,52,2821000,1141,7652
2,2,178,281000,150,1197
3,8,179,2285000,1264,4432
3,3,180,772000,404,1573
2,3,181,908000,563,3085
2,5,183,1693000,1117,3848
3,6,53,2426000,1261,2305
2,9,184,4181000,1420,5250
3,5,55,2600000,879,2283
3,5,56,938000,590,2285
3,3,188,740000,357,1528
3,12,191,3927000,1863,4502
2,28,59,5356000,2600,19794
2,14,58,2230000,1145,7062
3,6,60,2689000,1371,2818
3,16,61,4183000,2145,7864
3,5,62,1627000,827,3423
1,20,200,6150000,3412,9701
2,27,63,5555000,2540,15813
2,5,201,710000,307,1416
2,5,202,958000,143,4376
2,22,64,5415000,2133,8685
3,10,65,1824000,923,3696
3,7,66,3041000,1430,2662
3,3,204,567000,211,1303
3,5,67,1262000,671,2875
3,26,31,12705000,1499,3650
3,11,32,11778000,986,1946
3,1,55,1741000,103,301
3,6,56,1774000,89,362
3,3,8,658000,34,275
3,8,3,893000,179,469
3,10,11,562000,153,745
3,2,15,1234000,88,578
3,6,42,1300000,204,1717
3,5,18,150000,80,417
3,2,20,1077000,60,108
3,2,27,498000,21,207
3,16,28,3717000,414,2817
3,2,34,210000,10,813
3,11,36,8312000,153,2263
3,15,37,6072000,605,2218
3,1,38,41000,6,41
3,2,40,1131000,21,158
3,1,43,71000,6,136
3,13,44,508000,140,274
3,9,45,4809000,416,741
3,2,47,211000,11,352
3,11,29,2494000,249,505
3,3,2,322000,38,329
3,13,51,2498000,177,372
3,3,48,500000,61,865
3,3,49,370000,93,535
3,3,50,319000,30,159
3,10,52,2527000,214,541
3,4,17,1311000,20,1330
3,7,14,1572000,252,853
3,9,25,1392000,338,2638
2,89,5,31550000,6420,49312
3,11,22,2945000,547,5688
3,41,24,5268000,1734,10236
3,30,33,6399000,2189,12753
3,10,21,1564000,122,594
3,3,35,921000,155,774
3,32,16,7723000,2311,15999
2,3,80214,731000,1545,1041
3,3,90204,7924000,1407,1579
2,1,78709,-9,-9,102
2,3,80502,734000,281,1892
2,12,70468,7359000,3238,14065
2,18,100210,5770000,3514,16771
2,1,140550,162000,84,360
2,7,110243,1825000,990,5161
2,5,70444,1983000,1656,3187
2,5,70431,2085000,1078,3218
3,2,20409,244000,253,725
3,3,130228,753000,470,1548
2,20,70483,9231000,3930,18572
2,9,110404,2843000,1500,5400
3,8,10224,20990000,3646,4379
2,8,110221,2087000,1457,2900
2,12,140413,3417000,1718,5314
2,7,70414,7102000,2540,8100
3,12,20227,3228000,3074,4724
3,3,60202,182000,117,650
2,6,70289,3560000,2066,4956
2,4,110100,142000,-9,261
2,10,100208,2454000,986,6200
2,4,70298,629000,133,2426
3,3,20100,4184000,260,1196
3,2,50207,2840000,777,580
3,10,10220,9601000,1137,2157
2,2,70224,653000,509,594
2,23,70241,3228000,1225,27205
2,15,70440,6092000,3899,13710
2,12,70505,3436000,1644,13045
3,4,40201,945000,436,2341
2,2,30204,707000,29,386
3,4,90203,2994000,1138,2000
3,9,130222,1439000,609,5124
2,6,100240,6920000,1973,1260
2,10,70405,6106000,3185,8180
3,2,90202,106000,30,455
3,4,90227,11477000,1574,2670
2,8,80404,1862000,1512,4659
2,23,70428,2246000,1017,19770
2,7,80201,1624000,989,5655
2,3,70459,1176000,687,1742
2,4,70479,814000,342,3187
2,5,110208,757000,275,1671
2,15,100206,2720000,1156,11792
2,3,110220,1014000,353,1145
2,80,70204,23080000,12034,72755
2,3,80416,918000,297,1793
3,2,60218,124000,127,1110
2,5,70408,3189000,1363,4037
2,40,70269,7386000,3100,34625
3,4,150227,5699000,610,2188
3,6,40210,1110000,371,2952
2,1,80208,1603000,215,283
2,30,70211,5201000,2382,32004
1,17,70401,8058000,7401,9240
1,12,70510,12336000,7332,21947
2,3,110199,1000,-9,91
3,4,90232,516000,102,2350
3,10,130201,1267000,1185,5016
3,3,10218,5387000,868,1200
3,4,10227,4826000,1517,877
3,1,20218,98000,6,140
3,4,120235,1114000,387,2320
2,1,110540,331000,188,540
2,29,70248,4287000,1939,27221
3,2,130240,109000,9,182
3,8,90210,956000,462,2578
2,23,70297,4233000,1901,24755
2,4,140411,2598000,1306,2235
2,21,100212,9873000,5558,14788
2,23,70403,5500000,3217,12738
2,7,70513,1856000,966,12837
3,4,50204,416000,347,1357
2,2,70514,1200000,352,4316
3,3,20201,598000,417,1097
2,118,100201,37275000,18255,63226
2,32,70406,10987000,4688,29408
3,4,90220,13555000,1674,2843
2,2,30202,372000,149,721
3,11,10208,13265000,1319,3111
3,5,90201,2299000,750,2644
2,15,140401,6135000,3716,10045
2,4,140570,4178000,2016,8000
3,5,130209,451000,-9,1366
1,5,211001,-9,-9,803
3,4,101000,724000,362,1178
3,4,602000,1303000,385,2301
3,6,2705000,1092000,525,4212
3,2,2803000,338000,131,755
3,7,2808000,1264000,610,2700
3,7,3201000,801000,446,2130
3,4,3403000,1386000,790,1810
1,16,3505000,3970000,2404,6644
3,2,4708000,538000,232,1343
3,6,203000,1352000,643,1773
3,7,303000,1447000,872,3919
3,4,1402000,1268000,696,2979
3,7,4706000,1234000,528,1594
3,4,6205000,443000,123,718
3,2,5701000,530000,143,460
3,2,7101000,83000,35,85
3,5,1002000,1068000,514,2251
2,4,4101000,680000,402,1630
3,3,7302000,577000,394,2150
2,7,6302000,981000,869,4224
2,2,6306000,329000,35,271
2,9,401000,1656000,799,6634
3,2,2901000,313000,97,528
3,8,4702000,2608000,1307,3727
3,2,506000,188000,77,378
2,2,1603000,307000,182,1010
2,8,6303000,1059000,628,5832
2,10,4304000,2066000,799,7220
3,2,3301000,283000,207,583
3,2,2001000,145000,48,115
3,2,6802000,414000,326,1054
2,3,1702000,557000,166,888
3,2,1106000,294000,199,700
3,3,7102000,487000,348,1235
2,12,2301000,2020000,912,7749
3,2,7503000,448000,98,700
2,2,402000,238000,167,601
3,2,5501000,130000,79,400
3,2,901000,1139000,601,886
2,5,3502000,1446000,750,1634
3,3,5802000,623000,326,1368
3,4,2104000,1412000,622,1944
3,2,5301000,237000,130,738
3,2,7011000,46000,60,304
3,9,7001000,2638000,1373,4684
3,2,5402000,742000,323,486
2,3,7201000,273000,146,927
3,7,5204000,1954000,1061,3500
2,2,7202000,191000,154,1553
2,14,7203000,2462000,1597,7738
3,3,4501000,351000,170,960
3,4,2002000,602000,317,1320
3,8,6201000,3517000,1964,4271
1,27,6601000,5413000,2792,12430
2,3,4603000,292000,165,827
3,2,102000,146000,64,277
3,2,4001000,425000,175,287
3,2,803000,580000,338,1192
2,2,6604000,225000,112,508
3,2,1205000,164000,80,198
3,6,5403000,3662000,2008,3788
3,3,6804000,660000,548,1475
3,2,4803000,518000,142,332
3,4,2903000,1579000,902,2944
3,3,6703000,300000,189,800
3,6,2603000,2107000,1731,3266
3,2,2604000,410000,59,704
2,12,1803000,3618000,1915,6170
3,3,4401000,649000,408,2054
1,9,1608000,2104000,1271,5070
3,5,7307000,633000,421,1250
3,4,2606000,618000,270,2592
2,3,7205000,484000,377,1037
1,48,6001000,10826000,5728,25190
3,2,4202000,400000,154,578
3,2,3003000,239000,108,900
3,2,2501000,277000,145,462
2,7,1804000,1044000,411,3118
3,3,5404000,798000,418,723
3,2,2607000,422000,169,750
2,2,1703000,535000,227,793
3,2,5504000,335000,127,530
3,2,1503000,161000,105,441
1,5,1611000,727000,334,2397
3,3,3206000,334000,281,685
3,2,7006000,198000,84,555
1,21,6002000,5169000,2834,9002
3,2,7507000,287000,165,576
3,6,4713000,1502000,930,1867
3,2,7309000,305000,142,728
3,2,7007000,95000,51,692
3,2,2405000,171000,82,272
3,4,6103000,869000,526,1860
3,2,6104000,183000,90,307
2,37,6003000,8539000,3854,18825
2,16,405000,2632000,1205,10674
3,10,5805000,1586000,1006,5619
3,2,7103000,187000,38,133
3,2,7104000,323000,208,460
2,5,406000,652000,351,2791
3,6,1507000,1226000,640,2512
3,2,2003000,146000,108,280
3,2,2906000,243000,25,490
2,14,7207000,2733000,1533,10703
3,2,3210000,117000,78,364
1,10,4605000,2944000,1843,4739
3,2,6902000,192000,61,290
2,10,1705000,2109000,1224,5706
3,3,6401000,2131000,504,1679
2,5,3509000,1582000,913,3331
3,2,5607000,141000,67,454
3,4,1905000,1342000,718,2782
2,18,3675044,5254000,3391,15608
2,7,1975333,901000,152,5895
2,3,1575168,245000,179,1297
2,18,3375176,5076000,2260,16397
2,1,2775150,14000,12,40
2,6,2475317,1328000,1150,2782
2,4,1075408,1055000,370,1880
3,5,1175481,705000,685,2400
1,18,3975499,2321000,1281,18553
2,30,1964212,8099000,3441,24020
2,18,161119,2881000,1533,11578
2,3,5471803,219000,126,289
2,10,3667595,1216000,725,7698
1,17,3366977,5323000,4269,23805
1,22,3066423,5498000,5623,21820
1,20,3066431,13455000,5440,29108
2,5,4970607,349000,156,2834
2,5,4569856,543000,359,2568
2,8,1964246,4269000,1298,23112
3,1,2365557,170000,137,283
2,12,4068700,1300000,1042,6678
1,41,1563321,20364000,14653,27488
2,21,1964287,10136000,4800,21236
2,8,3366985,3580000,2325,4800
2,12,3667611,3231000,2274,7190
1,13,4369377,1620000,1223,8723
2,1,1062026,155000,25,77
1,14,4269120,5546000,4361,11181
1,18,1563362,2638000,1952,12515
2,1,5471829,54000,61,171
3,12,561564,668000,907,3900
3,10,1363099,4109000,3680,8077
2,3,2866241,209000,221,933
1,5,4369401,1198000,403,7395
2,38,3066464,6899000,2900,46909
2,2,3768007,251000,200,880
2,8,4269146,733000,156,3161
2,5,4569914,1056000,1040,1712
2,12,5071043,3330000,2586,10204
2,10,1964378,1747000,592,8053
2,2,5071050,216000,268,752
2,30,3667678,5326000,3466,31545
1,1,5471845,4000,21,59
2,33,1062117,7959000,4077,31935
2,25,3667686,8672000,5487,22565
2,39,1973437,23465000,18214,35473
3,5,5271498,980000,525,1879
2,35,3367033,9019000,4818,39960
2,14,4973882,1554000,1226,8255
2,20,1964436,4925000,1933,14266
2,9,5471860,2258000,1856,3800
3,11,861820,3075000,1806,5109
1,5,3467306,2542000,1421,2174
2,22,1964451,6898000,2801,29803
2,8,1964469,2274000,996,4572
1,15,4369427,6671000,4139,24572
2,13,1964485,2298000,1024,8970
2,42,3467314,13349000,6955,45512
2,4,5772686,301000,269,967
1,26,4870540,5292000,4049,21914
2,8,3768114,4638000,1139,5917
2,32,3667710,14793000,7681,38712
3,5,2365565,712000,518,2366
1,13,4369450,6758000,3939,10682
2,5,4369468,2005000,497,9017
2,8,3066514,2090000,1440,14578
2,13,1964550,7395000,4019,7547
2,13,4369484,3917000,2467,10000
2,29,1964568,17855000,9780,30361
2,10,1964576,1162000,580,8453
1,13,3467363,6224000,3773,11759
1,1,2766027,3000,7,29
2,2,461473,97000,-9,2052
2,2,4269203,670000,691,1110
2,33,161192,11428000,4563,42304
2,19,3367082,6260000,4046,19300
2,6,2465698,551000,598,2460
3,1,1663933,102000,327,251
2,5,4168924,1082000,490,5426
1,24,3367090,5686000,3851,21141
2,3,1563545,613000,395,1061
2,16,1062265,6123000,3298,8300
2,2,1062257,181000,193,927
3,9,1764022,2058000,1525,3204
3,2,1663966,85000,421,446
2,16,1964667,6871000,2748,13668
2,13,1964683,952000,496,12700
3,3,1663982,764000,295,2046
